INTERNAL_CODE	KEYWORD	LABEL	SUB_LABEL	OID	EXT_CODE_ID	KEYWORD_TYPE
1	Day	AGEU_DAYS_AGE UNIT	DAYS	AGEU	C25301	PRIMARY
2	Hours	AGEU_HOURS_AGE UNIT	HOURS	AGEU	C25529	SYNONYM
3	h	AGEU_HOURS_AGE UNIT	HOURS	AGEU	C25529	SYNONYM
4	hr	AGEU_HOURS_AGE UNIT	HOURS	AGEU	C25529	SYNONYM
5	Hour	AGEU_HOURS_AGE UNIT	HOURS	AGEU	C25529	PRIMARY
6	Month	AGEU_MONTHS_AGE UNIT	MONTHS	AGEU	C29846	SYNONYM
7	Month	AGEU_MONTHS_AGE UNIT	MONTHS	AGEU	C29846	PRIMARY
8	Week	AGEU_WEEKS_AGE UNIT	WEEKS	AGEU	C29844	SYNONYM
9	Week	AGEU_WEEKS_AGE UNIT	WEEKS	AGEU	C29844	PRIMARY
10	Year	AGEU_YEARS_AGE UNIT	YEARS	AGEU	C29848	SYNONYM
11	Year	AGEU_YEARS_AGE UNIT	YEARS	AGEU	C29848	PRIMARY
12	Fifth Lumbar Spinous Process	LOC_5TH LUMBAR SPINOUS PROCESS_ANATOMICAL LOCATION	5TH_LUMBAR_SPINOUS_PROCESS	LOC	C116163	PRIMARY
13	Abdominal Aorta	LOC_ABDOMINAL AORTA_ANATOMICAL LOCATION	ABDOMINAL_AORTA	LOC	C32038	PRIMARY
14	Abdomen	LOC_ABDOMINAL CAVITY_ANATOMICAL LOCATION	ABDOMINAL_CAVITY	LOC	C12664	SYNONYM
15	Abdomen	LOC_ABDOMINAL CAVITY_ANATOMICAL LOCATION	ABDOMINAL_CAVITY	LOC	C12664	PRIMARY
16	Intra-Abdominal Lymph Node	LOC_ABDOMINAL LYMPH NODE_ANATOMICAL LOCATION	ABDOMINAL_LYMPH_NODE	LOC	C12360	PRIMARY
17	Abdominal Region	LOC_ABDOMINAL REGION_ANATOMICAL LOCATION	ABDOMINAL_REGION	LOC	C139186	PRIMARY
18	Abdominal Skin	LOC_ABDOMINAL SKIN_ANATOMICAL LOCATION	ABDOMINAL_SKIN	LOC	C52758	SYNONYM
19	Abdominal Skin	LOC_ABDOMINAL SKIN_ANATOMICAL LOCATION	ABDOMINAL_SKIN	LOC	C52758	PRIMARY
20	Abdominal Wall	LOC_ABDOMINAL WALL_ANATOMICAL LOCATION	ABDOMINAL_WALL	LOC	C77608	PRIMARY
21	Abducens Nerve	LOC_ABDUCENS NERVE_ANATOMICAL LOCATION	ABDUCENS_NERVE	LOC	C12665	PRIMARY
22	Accessory Renal Artery	LOC_ACCESSORY RENAL ARTERY_ANATOMICAL LOCATION	ACCESSORY_RENAL_ARTERY	LOC	C116183	PRIMARY
23	Acetabulum	LOC_ACETABULUM_ANATOMICAL LOCATION	ACETABULUM	LOC	C32042	SYNONYM
