INTERNAL_CODE	KEYWORD	LABEL	TERM_ID	KEYWORD_TYPE	SYNONYM_DAT	IS_A	IS_PART_OF
1	anatomical entity	ANATOMY	MA:0000001	NAME			
2	anatomy	ANATOMY	MA:0000001	SYNONYM	RELATED []		
3	spinal cord grey matter	ANATOMY	MA:0000002	NAME		MA:0001112	part_of MA:0000216
4	Spinal cord neuron	ANATOMY	MA:0000002	SYNONYM	NARROW [VX]	MA:0001112	part_of MA:0000216
5	organ system	ANATOMY	MA:0000003	NAME		MA:0003000	
6	Carcass	ANATOMY	MA:0000003	SYNONYM	NARROW [VX]	MA:0003000	
7	Carcass	ANATOMY	MA:0000003	SYNONYM	NARROW [VX]	MA:0003000	
8	Other organs	ANATOMY	MA:0000003	SYNONYM	NARROW [VX]	MA:0003000	
9	Carcass	ANATOMY	MA:0000003	SYNONYM	NARROW [VX]	MA:0003000	
10	Carcass - no viscera	ANATOMY	MA:0000003	SYNONYM	NARROW [VX]	MA:0003000	
11	Other organs	ANATOMY	MA:0000003	SYNONYM	NARROW [VX]	MA:0003000	
12	Various organs	ANATOMY	MA:0000003	SYNONYM	EXACT [VX]	MA:0003000	
13	Several organs	ANATOMY	MA:0000003	SYNONYM	EXACT [VX]	MA:0003000	
14	Carcass no visce	ANATOMY	MA:0000003	SYNONYM	NARROW [VX]	MA:0003000	
15	trunk	ANATOMY	MA:0000004	NAME		MA:0002433	
16	Trunk cavities	ANATOMY	MA:0000004	SYNONYM	NARROW [VX]	MA:0002433	
17	Trunk cavities	ANATOMY	MA:0000004	SYNONYM	NARROW [VX]	MA:0002433	
18	Body (absolute	ANATOMY	MA:0000004	SYNONYM	RELATED [VX]	MA:0002433	
19	Body	ANATOMY	MA:0000004	SYNONYM	RELATED [VX]	MA:0002433	
20	Front, left	ANATOMY	MA:0000004	SYNONYM	NARROW [VX]	MA:0002433	
21	body	ANATOMY	MA:0000004	SYNONYM	RELATED []	MA:0002433	
22	Front, right	ANATOMY	MA:0000004	SYNONYM	NARROW [VX]	MA:0002433	
23	Body	ANATOMY	MA:0000004	SYNONYM	RELATED [VX]	MA:0002433	
24	Body	ANATOMY	MA:0000004	SYNONYM	RELATED [VX]	MA:0002433	
25	Front, left	ANATOMY	MA:0000004	SYNONYM	NARROW [VX]	MA:0002433	
26	Front, right	ANATOMY	MA:0000004	SYNONYM	NARROW [VX]	MA:0002433	
27	BODY	ANATOMY	MA:0000004	SYNONYM	RELATED [VX]	MA:0002433	
28	body cavity or lining	ANATOMY	MA:0000005	NAME		MA:0002433	
29	head and neck	ANATOMY	MA:0000006	NAME		MA:0002433	
30	Front,left	ANATOMY	MA:0000006	SYNONYM	RELATED [VX]	MA:0002433	
31	limb	ANATOMY	MA:0000007	NAME		MA:0002433	
32	Extremity	ANATOMY	MA:0000007	SYNONYM	RELATED [VX]	MA:0002433	
33	Extremity	ANATOMY	MA:0000007	SYNONYM	RELATED [VX]	MA:0002433	
34	Extremities	ANATOMY	MA:0000007	SYNONYM	RELATED [VX]	MA:0002433	
35	Limb	ANATOMY	MA:0000007	SYNONYM	EXACT [VX]	MA:0002433	
36	Extremities	ANATOMY	MA:0000007	SYNONYM	RELATED [VX]	MA:0002433	
37	Limbs	ANATOMY	MA:0000007	SYNONYM	EXACT [VX]	MA:0002433	
38	Limb	ANATOMY	MA:0000007	SYNONYM	EXACT [VX]	MA:0002433	
39	LIMB	ANATOMY	MA:0000007	SYNONYM	EXACT [SEND:C12429]	MA:0002433	
40	Limbs	ANATOMY	MA:0000007	SYNONYM	EXACT [VX]	MA:0002433	
41	extremity	ANATOMY	MA:0000007	SYNONYM	RELATED []	MA:0002433	
42	tail	ANATOMY	MA:0000008	NAME		MA:0002433	
43	Site of tail cuff	ANATOMY	MA:0000008	SYNONYM	NARROW [VX]	MA:0002433	
44	Tail	ANATOMY	MA:0000008	SYNONYM	EXACT [VX]	MA:0002433	
45	TAIL	ANATOMY	MA:0000008	SYNONYM	EXACT [VX]	MA:0002433	
46	Tall	ANATOMY	MA:0000008	SYNONYM	RELATED [VX]	MA:0002433	
47	Tail	ANATOMY	MA:0000008	SYNONYM	EXACT [VX]	MA:0002433	
48	TAIL	ANATOMY	MA:0000008	SYNONYM	EXACT [SEND:C77663]	MA:0002433	
49	Tait	ANATOMY	MA:0000008	SYNONYM	RELATED [VX]	MA:0002433	
50	Tall	ANATOMY	MA:0000008	SYNONYM	RELATED [VX]	MA:0002433	
51	TAIL	ANATOMY	MA:0000008	SYNONYM	EXACT [VX]	MA:0002433	
52	adipose tissue	ANATOMY	MA:0000009	NAME		MA:0000011	
53	Adipose Tissue	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
54	Fat	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
55	Adipose fat (brown and white fat)	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
56	fat	ANATOMY	MA:0000009	SYNONYM	EXACT []	MA:0000011	
57	Perigenital adipose tissue	ANATOMY	MA:0000009	SYNONYM	NARROW [VX]	MA:0000011	
58	Adipose/connect.tis.	ANATOMY	MA:0000009	SYNONYM	BROAD [VX]	MA:0000011	
59	ADIPOSE TISSUE	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
60	Perigenital adipose tissue	ANATOMY	MA:0000009	SYNONYM	NARROW [VX]	MA:0000011	
61	Adipose tissue/body fat	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
62	Peri-fat	ANATOMY	MA:0000009	SYNONYM	RELATED [VX]	MA:0000011	
63	Fatty tissue	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
64	Peri. fat	ANATOMY	MA:0000009	SYNONYM	RELATED [VX]	MA:0000011	
65	Fat peri	ANATOMY	MA:0000009	SYNONYM	NARROW [VX]	MA:0000011	
66	Adipose tissue	ANATOMY	MA:0000009	SYNONYM	RELATED [VX]	MA:0000011	
67	Perireral fat	ANATOMY	MA:0000009	SYNONYM	NARROW [VX]	MA:0000011	
68	Adipose tissue, extramedullary sites	ANATOMY	MA:0000009	SYNONYM	BROAD [VX]	MA:0000011	
69	Fat ovarian	ANATOMY	MA:0000009	SYNONYM	NARROW [VX]	MA:0000011	
70	Adipose tissue	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
71	Fat near teste	ANATOMY	MA:0000009	SYNONYM	NARROW [VX]	MA:0000011	
72	Fat-PR	ANATOMY	MA:0000009	SYNONYM	RELATED [VX]	MA:0000011	
73	ADIPOSE TISSUE	ANATOMY	MA:0000009	SYNONYM	EXACT [SEND:C12472]	MA:0000011	
74	Fat tissue	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
75	Fatty tissue	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
76	Fat ovarian	ANATOMY	MA:0000009	SYNONYM	NARROW [VX]	MA:0000011	
77	Fat near teste	ANATOMY	MA:0000009	SYNONYM	NARROW [VX]	MA:0000011	
78	Fat tissue	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
79	Fat	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
80	Adipose Tissue	ANATOMY	MA:0000009	SYNONYM	EXACT [VX]	MA:0000011	
