INTERNAL_CODE	KEYWORD	LABEL	TERM_ID	KEYWORD_TYPE	SYNONYM_DAT	IS_A	IS_PART_OF	SEND_DOMAIN_CODE	SEND_DOMAIN_DESC
1	in-life observation	IN_LIFE_OBSERVATION	ILO:0000001	NAME	 	 	 	 	 
2	food consumption	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000002	NAME	 	ILO:0000001	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
3	% food consumption	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	NAME	 	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
4	food, 100% food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
5	food, 50% food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
6	food, 75% food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
7	food. 75 % consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
8	25% food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
9	100% food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
10	food, 100 % food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
11	50% food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
12	food, 75 % consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
13	75% food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
14	food, 50 % food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
15	food, 100 % foof consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
16	food, 25 % food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
17	food, 100 % consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
18	food, 75 % food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
19	miscellaneous, more than 3/4 food ration cons	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
20	miscellaneous, 1/4 to 3/4 food ration cons	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
21	1/4 to 3/4 food ration consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
22	more than 3/4 food ration consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
23	food, 50% consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
24	food, 25% food consumed	FOOD_WATER_CONSUMPTION_DOMAIN	ILO:0000003	SYNONYM	RELATED [VX]	ILO:0000002	 	FW	FOOD_WATER_CONSUMPTION_DOMAIN
25	varia	CLINICAL_DOMAIN	ILO:0000004	NAME	 	ILO:0000001	 	CL	CLINICAL_DOMAIN
26	abdomen abnormal	CLINICAL_DOMAIN	ILO:0000005	NAME	 	ILO:0000004	 	CL	CLINICAL_DOMAIN
27	aabnormal abdomen	CLINICAL_DOMAIN	ILO:0000005	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
28	abnormal abdomen	CLINICAL_DOMAIN	ILO:0000005	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
29	abdomen distended	CLINICAL_DOMAIN	ILO:0000006	NAME	 	ILO:0000004	 	CL	CLINICAL_DOMAIN
30	abdomen swollen	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
31	abdomen: swollen appearance	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
32	increased abdominal volume	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
33	firm and enlarged abdomen	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
34	increased abdominal size	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
35	extended abdomen	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
36	bloated abdomens	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
37	abdominal, distention	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
38	hard abdomen	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
39	bloating	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
40	slight abdominal distention	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
41	abdominal distension	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
42	digestive system; abdominal distension	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
43	abdominal distention	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
44	build (deformity), distended abdomen	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	RELATED [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
45	distended abdomen	CLINICAL_DOMAIN	ILO:0000006	SYNONYM	EXACT [VX]	ILO:0000004	 	CL	CLINICAL_DOMAIN
