INTERNAL_CODE	KEYWORD	LABEL	TERM_ID	KEYWORD_TYPE	SYNONYM_DAT	IS_A	IS_PART_OF
1	Enzyme	MOA	MOA:0000000	NAME		MOA:0000483	
2	Auxiliary transport protein	MOA	MOA:0000001	NAME		MOA:0000483	
3	Epigenetic regulator	MOA	MOA:0000002	NAME		MOA:0000483	
4	Ion channel	MOA	MOA:0000003	NAME		MOA:0000483	
5	Membrane receptor	MOA	MOA:0000004	NAME		MOA:0000483	
6	Not applicable	MOA	MOA:0000005	NAME		MOA:0000483	
7	Other cytosolic protein	MOA	MOA:0000006	NAME		MOA:0000483	
8	Secreted protein	MOA	MOA:0000007	NAME		MOA:0000483	
9	Structural protein	MOA	MOA:0000008	NAME		MOA:0000483	
10	Surface antigen	MOA	MOA:0000009	NAME		MOA:0000483	
11	Transporter	MOA	MOA:0000010	NAME		MOA:0000483	
12	Transcription factor	MOA	MOA:0000011	NAME		MOA:0000483	
13	Unclassified protein	MOA	MOA:0000012	NAME		MOA:0000483	
14	Calcium channel auxiliary subunit alpha2delta family	MOA	MOA:0000013	NAME		MOA:0000001	
15	Calcium channel auxiliary subunit beta family	MOA	MOA:0000014	NAME		MOA:0000001	
16	Calcium channel auxiliary subunit gamma family	MOA	MOA:0000015	NAME		MOA:0000001	
17	Cytochrome p450	MOA	MOA:0000016	NAME		MOA:0000000	
18	Cytochrome p450 family 19	MOA	MOA:0000017	NAME		MOA:0000016	
19	Cytochrome p450 family 19a	MOA	MOA:0000018	NAME		MOA:0000017	
20	Cytochrome P450 19A1	MOA	MOA:0000019	NAME		MOA:0000018	
21	Aromatase	MOA	MOA:0000019	SYNONYM	RELATED [ChEMBL]	MOA:0000018	
22	CYP19	MOA	MOA:0000019	SYNONYM	RELATED [ChEMBL]	MOA:0000018	
23	Cytochrome P450 19A1	MOA	MOA:0000019	SYNONYM	RELATED [ChEMBL]	MOA:0000018	
24	CYP19A1	MOA	MOA:0000019	SYNONYM	RELATED [ChEMBL]	MOA:0000018	
25	Estrogen synthase	MOA	MOA:0000019	SYNONYM	RELATED [ChEMBL]	MOA:0000018	
26	CYPXIX	MOA	MOA:0000019	SYNONYM	RELATED [ChEMBL]	MOA:0000018	
27	CYAR	MOA	MOA:0000019	SYNONYM	RELATED [ChEMBL]	MOA:0000018	
