INTERNAL_CODE	KEYWORD	LABEL	CODELIST_ID	TERM_ID	KEYWORD_TYPE	TERM_NAME	SYNONYM_TYPE	SOURCE
1	intrajejunal	ROUTE	C66729	C102399	PRIMARY	 	 	 
2	intrapalatal	ROUTE	C66729	C102400	PRIMARY	 	 	 
3	transmammary	ROUTE	C66729	C111326	PRIMARY	 	 	 
4	perivenous	ROUTE	C66729	C112396	PRIMARY	 	 	 
5	intraparenchymal	ROUTE	C66729	C119548	PRIMARY	 	 	 
6	intramuscular	ROUTE	C66729	C28161	PRIMARY	 	 	 
7	intramuscular and subcutaneous	ROUTE	C66729	C28161	SYNONYM	INTRAMUSCULAR	RELATED	VX
8	intramuscular depot injection	ROUTE	C66729	C28161	SYNONYM	INTRAMUSCULAR	NARROW	VX
9	intramuscular injection	ROUTE	C66729	C28161	SYNONYM	INTRAMUSCULAR	RELATED	VX
10	itramuscular injection every 3 day	ROUTE	C66729	C28161	SYNONYM	INTRAMUSCULAR	RELATED	VX
11	auricular (otic)	ROUTE	C66729	C38192	PRIMARY	 	 	 
12	buccal	ROUTE	C66729	C38193	PRIMARY	 	 	 
13	conjunctival	ROUTE	C66729	C38194	PRIMARY	 	 	 
14	instillation into the conjunctival sac	ROUTE	C66729	C38194	SYNONYM	CONJUNCTIVAL	RELATED	VX
15	dental	ROUTE	C66729	C38197	PRIMARY	 	 	 
16	soft tissue	ROUTE	C66729	C38198	PRIMARY	 	 	 
17	hemodialysis	ROUTE	C66729	C38200	PRIMARY	 	 	 
18	iontophoresis	ROUTE	C66729	C38203	PRIMARY	 	 	 
19	endocervical	ROUTE	C66729	C38205	PRIMARY	 	 	 
20	endosinusial	ROUTE	C66729	C38206	PRIMARY	 	 	 
21	intrathoracic	ROUTE	C66729	C38207	PRIMARY	 	 	 
22	endotracheal	ROUTE	C66729	C38208	PRIMARY	 	 	 
23	intratracheal	ROUTE	C66729	C38208	SYNONYM	ENDOTRACHEAL	RELATED	VX
24	enteral	ROUTE	C66729	C38209	PRIMARY	 	 	 
25	epidural	ROUTE	C66729	C38210	PRIMARY	 	 	 
26	extra-amniotic	ROUTE	C66729	C38211	PRIMARY	 	 	 
27	extracorporeal	ROUTE	C66729	C38212	PRIMARY	 	 	 
28	infiltration	ROUTE	C66729	C38215	PRIMARY	 	 	 
29	respiratory (inhalation)	ROUTE	C66729	C38216	PRIMARY	 	 	 
30	aerosol inhalation	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	EXACT	VX
31	dry powder	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	NARROW	VX
32	inhalation	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
33	inhalation  (nose only)	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
34	inhalation (wdf)	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
35	inhalation (dry powder aerosol)	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	NARROW	VX
36	inhalation (dry powder)	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
37	inhalation (nose only)	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
38	inhalation (nose-only exposure)	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
39	inhalation (nose-only)	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
40	inhalation 20-min	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
41	inhalation 30-min	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
42	inhalation 4-h	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
43	inhalation administration	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	EXACT	VX
44	inhalation by nose-only	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
45	inhalation by oropharyngeal tube	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	NARROW	VX
46	inhalation nasal 180-min	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
47	inhalation nasal 3-h	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
48	inhalation nose-only	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
49	inhalation nose-only (dry powder)	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	NARROW	VX
50	inhalation of dust	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
51	inhalation oro-nasal	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	NARROW	VX
52	inhalation oro-nasal (dry powder)	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
53	inhalation plus oral by gavage	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
54	inhalation under dynamic directed-flow nose-only exposure condition	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
55	inhalation,  2.5-10 min	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
56	inhalation, dry powder	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
57	mask inhalation	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	NARROW	VX
58	nasal inhalation	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
59	nose-only inhalation	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
60	nose-only inhalation (dry powder)	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
61	oral - inhalation	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
62	oral inhalation	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
63	orally inhalated	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
64	oronasal inhalation	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
65	snout-only inhalation	ROUTE	C66729	C38216	SYNONYM	RESPIRATORY (INHALATION)	RELATED	VX
66	intracoronal, dental	ROUTE	C66729	C38217	PRIMARY	 	 	 
67	intracoronary	ROUTE	C66729	C38218	PRIMARY	 	 	 
68	interstitial	ROUTE	C66729	C38219	PRIMARY	 	 	 
69	intra-abdominal	ROUTE	C66729	C38220	PRIMARY	 	 	 
70	intra-amniotic	ROUTE	C66729	C38221	PRIMARY	 	 	 
71	intra-arterial	ROUTE	C66729	C38222	PRIMARY	 	 	 
72	intra-articular	ROUTE	C66729	C38223	PRIMARY	 	 	 
73	intra-articular injections	ROUTE	C66729	C38223	SYNONYM	INTRA-ARTICULAR	EXACT	VX
74	intraarticular injection	ROUTE	C66729	C38223	SYNONYM	INTRA-ARTICULAR	RELATED	VX
75	intrabiliary	ROUTE	C66729	C38224	PRIMARY	 	 	 
76	intrabronchial	ROUTE	C66729	C38225	PRIMARY	 	 	 
77	intrabursal	ROUTE	C66729	C38226	PRIMARY	 	 	 
78	intracardiac	ROUTE	C66729	C38227	PRIMARY	 	 	 
79	intracartilaginous	ROUTE	C66729	C38228	PRIMARY	 	 	 
80	intracaudal	ROUTE	C66729	C38229	PRIMARY	 	 	 
81	intracavernous	ROUTE	C66729	C38230	PRIMARY	 	 	 
